No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,摘要,入力者,入庫日,下代（数値）
176,FALSE,Pt900,リング,オーバル,100,09A-150-100,"95,000",101706,,,,shige,2017/04/20,"22,000"
177,FALSE,Pt900,リング,オーバル,100,09C-217-100,"240,000",102962,0.09ct,,,tanaka,2023/11/14,"25,000"
178,FALSE,Pt900,リング,オーバル,100,09E-106-100,"420,000",103714,0.55ct,,,SK,2017/02/09,"26,000"
179,FALSE,Pt900,リング,オーバル,100,09E-482-100,"260,000",102307,0.25ct,,,YUKARI,2019/08/01,"27,100"
180,FALSE,Pt900,リング,オーバル,100,09K-16-100,"200,000",102327,0.22ct,,,norita,2019/08/13,"26,300"
181,FALSE,Pt900,リング,オーバル,110,09A-150-110,"135,000",102641,,,,fujita,2022/09/29,"27,100"
182,FALSE,Pt900,リング,オーバル,110,09B-312-110,"280,000",102299,0.29ct,,,SK,2019/02/05,"23,200"
183,FALSE,Pt900,リング,オーバル,110,09E-106-110,"520,000",20452,0.65ct,,,nakayama,2017/03/18,"32,000"
184,FALSE,Pt900,リング,オーバル,110,09K-16-110,"210,000",102234,0.22ct,,,muro,2017/05/05,"31,000"
185,FALSE,Pt900,リング,オーバル,120,09A-150-120,"100,000",102127,,,,nakajima ,2020/10/31,"38,700"
186,FALSE,Pt900,リング,オーバル,120,09B-312-120,"280,000",102608,0.29ct,,,SK,2018/08/03,"23,800"
187,FALSE,Pt900,リング,オーバル,120,09B-410-120,"330,000",102642,0.40ct,,,tanaka,2023/11/14,"24,200"
188,FALSE,Pt900,リング,オーバル,120,09E-106-120,"600,000",105392,0.72ct,,,tanaka,2023/11/14,"34,500"
189,FALSE,Pt900,リング,オーバル,120,09E-433-120,"280,000",103087,0.25ct,,,tanaka,2023/11/14,"25,500"
190,FALSE,Pt900,リング,オーバル,120,09K-16-120,"220,000",102407,0.22ct,,,suzuki,2017/03/07,"36,000"
191,FALSE,Pt900,リング,オーバル,120,09K-87-120,"420,000",103651,0.44ct,,,tanaka,2023/11/14,"30,000"
192,FALSE,Pt900,リング,オーバル,120,09K-91-120,"220,000",102695,0.16ct,,,nakajima,2017/07/01,"38,300"
193,FALSE,Pt900,リング,オーバル,120,09P-46-120,"380,000",103188,0.43ct,,,tanaka,2023/11/14,"26,000"
194,FALSE,Pt900,リング,オーバル,120,JSD-342-7-5,"880,000",30175,0.97ct,,,kida,2017/03/17,"30,500"
